,x,y
1,230.1,22.1
2,44.5,10.4
3,17.2,9.3
4,151.5,18.5
5,180.8,12.9
6,8.7,7.2
7,57.5,11.8
8,120.2,13.2
9,8.6,4.8
10,199.8,10.6
11,66.1,8.6
12,214.7,17.4
13,23.8,9.2
14,97.5,9.7
15,204.1,19
16,195.4,22.4
17,67.8,12.5
18,281.4,24.4
19,69.2,11.3
20,147.3,14.6
21,218.4,18
22,237.4,12.5
23,13.2,5.6
24,228.3,15.5
25,62.3,9.7
26,262.9,12
27,142.9,15
28,240.1,15.9
29,248.8,18.9
30,70.6,10.5
31,292.9,21.4
32,112.9,11.9
33,97.2,9.6
34,265.6,17.4
35,95.7,9.5
36,290.7,12.8
37,266.9,25.4
38,74.7,14.7
39,43.1,10.1
40,228,21.5
41,202.5,16.6
42,177,17.1
43,293.6,20.7
44,206.9,12.9
45,25.1,8.5
46,175.1,14.9
47,89.7,10.6
48,239.9,23.2
49,227.2,14.8
50,66.9,9.7
51,199.8,11.4
52,100.4,10.7
53,216.4,22.6
54,182.6,21.2
55,262.7,20.2
56,198.9,23.7
57,7.3,5.5
58,136.2,13.2
59,210.8,23.8
60,210.7,18.4
61,53.5,8.1
62,261.3,24.2
63,239.3,15.7
64,102.7,14
65,131.1,18
66,69,9.3
67,31.5,9.5
68,139.3,13.4
69,237.4,18.9
70,216.8,22.3
71,199.1,18.3
72,109.8,12.4
73,26.8,8.8
74,129.4,11
75,213.4,17
76,16.9,8.7
77,27.5,6.9
78,120.5,14.2
79,5.4,5.3
80,116,11
81,76.4,11.8
82,239.8,12.3
83,75.3,11.3
84,68.4,13.6
85,213.5,21.7
86,193.2,15.2
87,76.3,12
88,110.7,16
89,88.3,12.9
90,109.8,16.7
91,134.3,11.2
92,28.6,7.3
93,217.7,19.4
94,250.9,22.2
95,107.4,11.5
96,163.3,16.9
97,197.6,11.7
98,184.9,15.5
99,289.7,25.4
100,135.2,17.2
101,222.4,11.7
102,296.4,23.8
103,280.2,14.8
104,187.9,14.7
105,238.2,20.7
106,137.9,19.2
107,25,7.2
108,90.4,8.7
109,13.1,5.3
110,255.4,19.8
111,225.8,13.4
112,241.7,21.8
113,175.7,14.1
114,209.6,15.9
115,78.2,14.6
116,75.1,12.6
117,139.2,12.2
118,76.4,9.4
119,125.7,15.9
120,19.4,6.6
121,141.3,15.5
122,18.8,7
123,224,11.6
124,123.1,15.2
125,229.5,19.7
126,87.2,10.6
127,7.8,6.6
128,80.2,8.8
129,220.3,24.7
130,59.6,9.7
131,0.7,1.6
132,265.2,12.7
133,8.4,5.7
134,219.8,19.6
135,36.9,10.8
136,48.3,11.6
137,25.6,9.5
138,273.7,20.8
139,43,9.6
140,184.9,20.7
141,73.4,10.9
142,193.7,19.2
143,220.5,20.1
144,104.6,10.4
145,96.2,11.4
146,140.3,10.3
147,240.1,13.2
148,243.2,25.4
149,38,10.9
150,44.7,10.1
151,280.7,16.1
152,121,11.6
153,197.6,16.6
154,171.3,19
155,187.8,15.6
156,4.1,3.2
157,93.9,15.3
158,149.8,10.1
159,11.7,7.3
160,131.7,12.9
161,172.5,14.4
162,85.7,13.3
163,188.4,14.9
164,163.5,18
165,117.2,11.9
166,234.5,11.9
167,17.9,8
168,206.8,12.2
169,215.4,17.1
170,284.3,15
171,50,8.4
172,164.5,14.5
173,19.6,7.6
174,168.4,11.7
175,222.4,11.5
176,276.9,27
177,248.4,20.2
178,170.2,11.7
179,276.7,11.8
180,165.6,12.6
181,156.6,10.5
182,218.5,12.2
183,56.2,8.7
184,287.6,26.2
185,253.8,17.6
186,205,22.6
187,139.5,10.3
188,191.1,17.3
189,286,15.9
190,18.7,6.7
191,39.5,10.8
192,75.5,9.9
193,17.2,5.9
194,166.8,19.6
195,149.7,17.3
196,38.2,7.6
197,94.2,9.7
198,177,12.8
199,283.6,25.5
200,232.1,13.4
